	TM_FACS	TM_10X	MCA.values
1700056E22Rik	1	0	2
1700057G04Rik	0	0	3
1700057H15Rik	0	0	0
1700060C20Rik	0	0	0
1700061F12Rik	0	0	8
1700061G19Rik	0	0	2
1700061I17Rik	0	0	0
1700063D05Rik	1	0	2
1700064M15Rik	0	0	3
1700065D16Rik	0	0	0
1700065J11Rik	0	0	0
1700065J18Rik	0	0	1
1700065O20Rik	0	0	0
1700066B17Rik	0	0	1
1700066B19Rik	1	0	0
1700066M21Rik	4	0	1
1700066O22Rik	0	0	0
1700067G17Rik	0	0	2
1700067K01Rik	0	0	2
1700069L16Rik	0	0	0
1700071K01Rik	0	0	0
1700071M16Rik	0	0	2
1700072B07Rik	0	0	0
1700072O05Rik	0	0	0
1700073E17Rik	0	0	2
1700080O16Rik	0	0	2
1700084E18Rik	0	0	0
1700084J12Rik	0	0	0
1700085C21Rik	0	0	0
1700086L19Rik	7	0	22
1700086O06Rik	0	0	1
1700088E04Rik	5	2	6
1700092C10Rik	0	0	2
1700092K14Rik	0	0	0
1700092M07Rik	0	0	12
1700093K21Rik	0	0	16
1700096K18Rik	4	0	0
1700097N02Rik	2	4	9
1700100L14Rik	0	0	3
1700101I11Rik	0	0	1
1700102P08Rik	0	0	7
1700105P06Rik	0	0	3
1700108F19Rik	0	0	2
1700108J01Rik	0	0	18
1700109G14Rik	0	0	2
1700109G15Rik	0	0	0
1700109H08Rik	0	0	3
1700110C19Rik	0	0	1
1700110I01Rik	0	0	0
1700110K17Rik	0	0	0
1700112E06Rik	4	1	0
1700112H15Rik	0	0	0
1700113A16Rik	27	0	0
1700113H08Rik	0	0	14
1700119H24Rik	0	0	0
1700120C14Rik	1	1	0
1700120E14Rik	0	0	0
1700120G07Rik	0	0	1
1700120K04Rik	0	0	4
1700122O11Rik	0	0	0
1700123K08Rik	0	0	1
1700123L14Rik	0	0	19
1700123M08Rik	0	0	1
1700123O12Rik	0	0	0
1700123O20Rik	58	31	6
1700123O21Rik	0	0	0
1700125G22Rik	0	0	0
1700125H03Rik	0	0	2
1700125H20Rik	0	0	3
1700128A07Rik	0	0	1
1810006J02Rik	1	0	0
1810007D17Rik	0	0	0
1810008I18Rik	4	2	0
1810009A15Rik	61	53	0
1810009J06Rik	0	0	0
1810010D01Rik	1	0	1
1810010H24Rik	2	2	0
1810011H11Rik	4	1	0
1810011O10Rik	34	18	16
1810012K16Rik	0	0	0
1810013L24Rik	66	15	0
1810014B01Rik	3	0	0
1810019D21Rik	12	4	2
1810020O05Rik	0	0	0
1810021B22Rik	2	0	0
1810022K09Rik	91	47	245
1810024B03Rik	1	0	1
1810026B05Rik	84	40	6
1810030O07Rik	37	4	1
1810032O08Rik	1	4	0
1810034E14Rik	1	0	0
1810037I17Rik	99	71	197
1810041L15Rik	3	0	0
1810043G02Rik	12	2	0
1810044D09Rik	1	1	18
1810046K07Rik	1	0	1
1810053B23Rik	1	0	0
1810055G02Rik	23	9	0
1810058I24Rik	90	68	183
1810062G17Rik	2	0	0
1810062O18Rik	0	0	0
1810064F22Rik	1	0	0
1810065E05Rik	2	0	0
2010003K11Rik	2	0	0
2010005H15Rik	0	0	34
2010009K17Rik	0	0	0
2010010A06Rik	0	0	0
2010016I18Rik	8	0	0
2010106C02Rik	0	0	0
2010106E10Rik	0	0	3
2010107E04Rik	102	73	535
2010107G23Rik	20	3	1
2010109A12Rik	0	0	5
2010109I03Rik	0	0	0
2010111I01Rik	47	8	9
2010204K13Rik	5	1	5
2010300C02Rik	10	1	0
2010308F09Rik	0	0	0
2010310C07Rik	0	0	0
2010315B03Rik	9	1	0
2010320M18Rik	13	5	0
2200002D01Rik	14	11	33
2200002J24Rik	0	0	2
2210010C04Rik	5	0	14
2210013O21Rik	49	34	7
2210016F16Rik	55	30	6
2210016L21Rik	36	22	1
2210019I11Rik	1	0	0
2210407C18Rik	1	0	23
2210408F21Rik	10	2	1
2210408I21Rik	0	1	0
2210409E12Rik	0	0	0
2210414B05Rik	0	0	0
2210417A02Rik	0	0	0
2300002M23Rik	0	0	0
2300009A05Rik	24	11	21
2310001H17Rik	19	9	3
2310001K24Rik	0	0	0
2310002L09Rik	1	0	1
2310005A03Rik	0	0	0
2310005E17Rik	0	0	0
2310007B03Rik	2	1	0
2310008N11Rik	0	0	0
2310009A05Rik	36	26	16
2310009B15Rik	21	11	1
2310010J17Rik	9	3	12
2310011J03Rik	39	29	7
2310015A10Rik	2	0	0
2310015D24Rik	0	0	0
2310020H05Rik	0	0	0
2310022A10Rik	16	0	0
2310022B05Rik	32	13	5
2310030G06Rik	10	3	0
2310033P09Rik	33	11	2
2310034G01Rik	5	2	0
2310034O05Rik	0	0	0
2310035C23Rik	29	4	0
2310036O22Rik	100	73	80
2310039H08Rik	28	19	17
2310039L15Rik	0	0	0
2310040G24Rik	2	0	1
2310043L19Rik	0	0	0
2310043O21Rik	0	0	0
2310057J18Rik	0	0	0
2310057M21Rik	11	0	0
2310061I04Rik	17	5	7
2310061N02Rik	0	0	0
2310065F04Rik	0	0	0
2310068J16Rik	0	0	0
2310069B03Rik	0	0	0
2310069G16Rik	0	0	0
2410002F23Rik	27	4	1
2410003L11Rik	0	0	0
2410004B18Rik	25	8	3
2410004I01Rik	0	0	0
2410004P03Rik	1	2	1
2410006H16Rik	78	69	223
2410012E07Rik	0	0	0
2410015M20Rik	94	72	279
2410017I17Rik	0	0	0
2410018L13Rik	0	0	0
2410089E03Rik	11	1	0
2410124H12Rik	0	0	0
2410131K14Rik	2	0	0
2410137M14Rik	0	0	0
2410141K09Rik	0	0	0
2500004C02Rik	0	0	0
2510002D24Rik	35	15	3
2510009E07Rik	25	2	0
2510039O18Rik	56	19	0
2610001J05Rik	75	54	8
2610002M06Rik	10	4	0
2610005L07Rik	57	10	0
2610008E11Rik	5	0	0
2610016A17Rik	0	0	0
2610020C07Rik	0	0	0
2610020H08Rik	1	0	2
2610028E06Rik	0	0	0
2610028H24Rik	2	3	1
2610035D17Rik	19	2	0
2610037D02Rik	0	0	0
2610203C20Rik	5	2	0
2610203C22Rik	0	1	0
2610206C17Rik	0	0	0
2610301B20Rik	11	1	0
2610306M01Rik	5	1	0
2610307P16Rik	0	1	0
2610316D01Rik	2	0	0
2610318N02Rik	0	1	19
2610507B11Rik	61	23	0
2610507I01Rik	7	2	0
2610524H06Rik	10	1	0
2610528A11Rik	5	2	3
2610528J11Rik	16	9	8
2700038G22Rik	0	4	4
2700046A07Rik	0	0	0
2700046G09Rik	2	0	3
2700049A03Rik	6	0	0
2700060E02Rik	98	71	248
2700062C07Rik	11	0	0
2700069I18Rik	0	0	0
2700081O15Rik	3	1	0
2700097O09Rik	4	0	0
2700099C18Rik	2	0	1
2810001G20Rik	4	1	0
2810002D19Rik	0	0	0
2810004N23Rik	34	17	6
2810006K23Rik	6	1	0
2810013P06Rik	41	15	0
2810021J22Rik	0	0	0
2810025M15Rik	32	19	24
2810029C07Rik	0	0	0
2810032G03Rik	0	0	0
2810403A07Rik	87	6	0
2810403D21Rik	0	0	0
2810404M03Rik	0	0	0
2810405F15Rik	0	0	0
2810408A11Rik	0	0	5
2810408I11Rik	0	1	21
2810410L24Rik	3	0	0
2810428I15Rik	77	61	74
2810429I04Rik	0	0	0
2810433D01Rik	0	0	0
2810442N19Rik	0	0	0
2810454H06Rik	4	0	0
2810459M11Rik	2	0	0
2810468N07Rik	3	0	2
2810474O19Rik	89	41	0
2900005J15Rik	2	1	0
2900009J06Rik	0	0	0
2900011O08Rik	2	0	9
2900026A02Rik	35	15	1
2900041M22Rik	0	0	0
2900052N01Rik	1	0	0
2900055J20Rik	1	0	0
2900060B14Rik	2	3	0
2900076A07Rik	5	0	0
2900079G21Rik	1	0	0
2900097C17Rik	82	47	0
3000002C10Rik	0	0	0
3010001F23Rik	0	0	0
3100003L05Rik	0	0	0
3110001I22Rik	0	0	0
3110002H16Rik	17	0	0
3110009E18Rik	0	0	0
3110021N24Rik	26	0	0
3110035E14Rik	1	0	2
3110039M20Rik	2	0	0
3110040N11Rik	24	9	1
3110043O21Rik	14	3	0
3110045C21Rik	0	0	0
3110056K07Rik	5	0	0
3110062M04Rik	6	2	0
3110070M22Rik	0	0	5
3110079O15Rik	1	3	42
3110082I17Rik	7	1	0
3110082J24Rik	0	0	0
3110099E03Rik	1	2	0
3300002I08Rik	0	0	0
3300005D01Rik	0	0	0
3425401B19Rik	1	0	0
3632451O06Rik	8	1	1
3632454L22Rik	0	0	0
3830403N18Rik	0	0	0
3830406C13Rik	42	15	4
3830408C21Rik	0	0	0
3830417A13Rik	0	0	5
3930402G23Rik	1	0	0
4430402I18Rik	2	1	8
4632415L05Rik	3	1	0
4632427E13Rik	18	0	0
4632428C04Rik	1	0	0
4732416N19Rik	0	0	0
4732471J01Rik	0	0	0
4732490B19Rik	0	0	0
4732491K20Rik	1	0	0
4831440E17Rik	1	0	0
4833412C05Rik	0	0	0
4833417C18Rik	0	0	0
4833418N02Rik	0	0	0
4833420G17Rik	45	5	0
4833422C13Rik	1	0	0
4833423E24Rik	3	0	1
4833427F10Rik	0	0	0
4833427G06Rik	1	2	17
4833428L15Rik	0	0	0
4833439L19Rik	85	35	10
4921501E09Rik	0	0	2
4921504E06Rik	0	0	1
4921507P07Rik	0	0	4
4921509C19Rik	0	0	0
4921511C10Rik	0	0	0
4921515E04Rik	0	0	0
4921517D22Rik	0	0	1
4921524J17Rik	41	17	2
4921531C22Rik	2	0	0
4921536K21Rik	0	0	5
4922502D21Rik	0	0	19
4930402F06Rik	0	0	0
4930402H24Rik	28	5	5
4930404I05Rik	0	0	0
4930404N11Rik	4	1	4
4930405A21Rik	0	0	0
4930406D18Rik	0	0	4
4930407I10Rik	0	0	0
4930412B13Rik	0	0	0
4930412C18Rik	0	1	0
4930412O13Rik	1	0	0
4930413G21Rik	12	0	2
4930415F15Rik	0	0	4
4930415O20Rik	0	0	8
4930417O13Rik	0	0	0
4930419G24Rik	2	0	0
4930425K10Rik	0	0	0
4930425O10Rik	0	0	0
4930426L09Rik	0	0	0
4930427A07Rik	3	0	0
4930428O21Rik	0	0	0
4930429D17Rik	0	0	0
4930429F24Rik	0	0	0
4930430F08Rik	3	0	0
4930431P03Rik	0	0	0
4930432K21Rik	0	0	1
4930433N12Rik	0	0	0
4930443O20Rik	0	0	0
4930444M15Rik	0	0	0
4930444P10Rik	0	1	3
4930447C04Rik	0	0	0
4930447N08Rik	0	0	2
4930448I18Rik	0	0	0
4930448K20Rik	0	0	1
4930451I11Rik	0	0	4
4930452B06Rik	1	0	1
4930452N14Rik	0	0	0
4930453H23Rik	0	0	0
4930453N24Rik	28	11	19
4930455D15Rik	0	0	0
4930455H04Rik	0	0	0
4930461G14Rik	0	0	1
4930465K10Rik	0	0	0
4930465M20Rik	0	0	0
4930467E23Rik	0	0	0
4930467K11Rik	0	0	0
4930469G21Rik	0	0	0
4930471M09Rik	0	0	0
4930473A02Rik	0	0	0
4930478P22Rik	0	0	0
4930479D17Rik	0	0	0
4930480G23Rik	0	0	0
4930481A15Rik	8	0	0
4930483J18Rik	0	0	1
4930483O08Rik	0	0	0
4930486L24Rik	0	0	1
4930487D11Rik	0	0	0
4930500L23Rik	0	0	0
4930502E09Rik	0	0	0
4930502E18Rik	0	0	0
4930503B20Rik	0	0	16
4930503E14Rik	0	0	0
4930503L19Rik	0	0	7
4930505A04Rik	0	0	7
4930507D05Rik	0	0	0
4930509E16Rik	0	0	0
4930511A02Rik	0	0	0
4930511E03Rik	0	0	0
4930511M06Rik	0	0	0
4930512B01Rik	2	0	0
4930513D17Rik	0	0	1
4930513N10Rik	1	0	0
4930513O06Rik	0	0	0
4930515B02Rik	0	0	0
4930515G01Rik	0	0	0
4930515L19Rik	0	0	0
4930519D14Rik	0	0	0
4930519F09Rik	0	0	0
4930519G04Rik	0	0	2
4930519H02Rik	0	0	4
4930520O04Rik	0	0	0
4930522O17Rik	0	0	13
4930523C07Rik	70	55	17
4930524B15Rik	0	0	1
4930524N10Rik	0	0	0
4930525G20Rik	0	0	0
4930526L06Rik	0	0	0
4930528D03Rik	0	0	1
4930528P14Rik	0	0	0
4930529C04Rik	0	0	0
4930533B01Rik	0	0	0
4930539E08Rik	4	0	0
4930539J05Rik	0	0	19
4930543E12Rik	0	0	0
4930544D05Rik	0	0	16
4930544M13Rik	0	0	0
4930545L23Rik	0	0	1
4930546C10Rik	0	0	0
4930548G14Rik	0	0	0
4930548H24Rik	0	0	0
4930549C01Rik	0	0	2
4930550C14Rik	0	2	3
4930550L24Rik	0	0	0
4930552P12Rik	0	0	0
4930555B11Rik	0	0	0
4930555G01Rik	0	0	0
4930557J02Rik	0	0	0
4930558C23Rik	0	0	15
4930558J18Rik	0	0	0
4930558K02Rik	0	0	1
4930562C15Rik	1	0	0
4930562F07Rik	1	0	0
4930563D23Rik	0	0	5
4930563E18Rik	0	0	0
4930563E22Rik	0	0	0
4930565N06Rik	0	0	0
4930567H12Rik	0	0	0
4930568D16Rik	0	0	0
4930568G15Rik	0	0	0
4930570G19Rik	1	0	0
4930578C19Rik	3	0	0
4930578I06Rik	0	0	13
4930578M01Rik	2	0	0
4930579F01Rik	0	0	3
4930579G18Rik	0	0	0
4930579G24Rik	2	2	0
4930579K19Rik	3	0	0
4930581F22Rik	2	0	0
4930583K01Rik	0	0	0
4930590J08Rik	0	0	0
4930593A02Rik	0	0	0
4930593C16Rik	0	0	0
4930594C11Rik	0	0	0
4930596D02Rik	0	0	1
4930599N23Rik	0	0	0
4931403E22Rik	0	0	0
4931403G20Rik	0	0	0
4931406B18Rik	0	0	0
4931406C07Rik	25	9	5
4931406P16Rik	35	15	0
4931408C20Rik	0	0	0
4931409K22Rik	0	0	1
4931414P19Rik	0	0	0
4931419H13Rik	0	0	0
4931423N10Rik	0	0	0
4931428F04Rik	1	0	0
4931428L18Rik	0	0	0
4931429L15Rik	0	0	0
4931429P17Rik	0	0	0
4931431C16Rik	1	0	0
4931440F15Rik	0	0	0
4931440J10Rik	0	0	0
4931440P22Rik	8	0	0
4932411N23Rik	0	0	0
4932412D23Rik	0	0	10
4932413F04Rik	0	0	0
4932414J04Rik	0	0	0
4932435O22Rik	0	0	0
4932438A13Rik	72	17	0
4932438H23Rik	0	0	2
4932441J04Rik	0	0	0
4932443I19Rik	0	2	0
4932702P03Rik	0	0	1
4933400A11Rik	0	0	0
4933400F21Rik	0	0	1
4933401B06Rik	0	0	0
4933402C06Rik	0	0	0
4933402N22Rik	0	0	1
4933402P03Rik	0	0	4
4933404K08Rik	0	0	0
4933404O12Rik	0	0	0
4933405D12Rik	0	0	0
4933405E24Rik	0	0	0
4933405L10Rik	0	0	2
4933406C10Rik	0	0	0
4933406D12Rik	0	0	0
4933406F09Rik	0	0	2
4933406G16Rik	0	0	0
4933406I18Rik	5	0	0
4933406J10Rik	0	0	0
4933406M09Rik	0	0	0
4933407E24Rik	0	0	0
4933407K13Rik	0	0	0
4933407L21Rik	0	0	0
4933408B17Rik	0	0	0
4933408J17Rik	0	0	0
4933408N05Rik	0	0	0
4933411K16Rik	0	0	16
4933413G19Rik	0	0	0
4933413J09Rik	0	0	0
4933415F23Rik	0	0	16
4933416C03Rik	0	0	5
4933416E03Rik	0	0	0
4933416I08Rik	0	0	0
4933416M07Rik	3	0	0
4933417A18Rik	0	0	4
4933417D19Rik	0	0	0
4933417E11Rik	0	0	0
4933417O13Rik	0	0	0
4933421I07Rik	0	0	0
4933421O10Rik	8	0	5
4933424G06Rik	0	0	2
4933427D14Rik	0	0	2
4933427E11Rik	0	0	2
4933427I22Rik	0	0	0
4933428C19Rik	0	0	0
4933430I17Rik	0	0	0
4933430M04Rik	0	0	0
4933431E20Rik	9	0	0
4933433F19Rik	0	0	0
4933433G15Rik	0	0	2
4933434E20Rik	85	32	19
4933436I01Rik	0	0	0
4933438K21Rik	0	0	0
4933439C10Rik	0	1	0
4933439K11Rik	2	0	0
4933440J02Rik	0	0	0
4933440M02Rik	0	0	0
5031410I06Rik	1	0	0
5031425E22Rik	42	14	0
5031425F14Rik	0	0	0
5031434C07Rik	0	0	0
5031434O11Rik	0	0	0
5031439G07Rik	33	4	2
5033403H07Rik	2	1	0
5330411J11Rik	0	0	0
5330413P13Rik	1	0	0
5330417C22Rik	14	1	2
5330434G04Rik	4	0	0
5430401F13Rik	0	0	0
5430402O13Rik	0	0	0
5430405H02Rik	6	0	0
5430416N02Rik	6	4	0
5430416O09Rik	3	1	0
5430419D17Rik	0	0	6
5430421F17Rik	0	0	0
5430427O19Rik	4	0	0
5430437J10Rik	0	0	0
5530601H04Rik	4	0	0
5730403I07Rik	0	0	0
5730405O15Rik	3	0	0
5730409E04Rik	11	0	0
5730416F02Rik	0	0	0
5730420D15Rik	0	0	0
5730422E09Rik	0	0	0
5730435O14Rik	0	0	0
5730455P16Rik	15	0	0
5730460C07Rik	0	0	0
5730480H06Rik	0	0	4
5730507C01Rik	1	0	0
5730508B09Rik	24	10	0
5730522E02Rik	0	0	0
5730559C18Rik	14	6	1
5830411N06Rik	0	0	0
5830416I19Rik	0	0	0
5830417I10Rik	25	0	0
5830418P13Rik	0	0	0
5830432E09Rik	6	0	0
5830473C10Rik	1	0	0
5930412G12Rik	0	0	0
6030407O03Rik	0	0	0
6030408B16Rik	2	1	0
6030419C18Rik	1	0	0
6030458C11Rik	13	0	0
6030466F02Rik	0	0	0
6030468B19Rik	0	0	0
6030498E09Rik	0	0	0
6230400D17Rik	0	0	0
6330403K07Rik	4	1	27
6330408A02Rik	0	0	0
6330409D20Rik	0	0	0
6330410L21Rik	0	0	0
6330418K02Rik	0	0	0
6330549D23Rik	0	0	0
6430531B16Rik	0	1	4
6430548M08Rik	18	4	0
6430550D23Rik	0	0	0
6430562O15Rik	0	0	0
6430571L13Rik	0	0	0
6430573F11Rik	4	0	0
6530402F18Rik	3	0	0
6720483E21Rik	0	0	0
6720489N17Rik	0	0	0
6820408C15Rik	1	2	3
6820431F20Rik	41	51	0
7420461P10Rik	0	0	0
7530416G11Rik	0	0	0
8030411F24Rik	0	0	0
8030423F21Rik	0	0	0
8030442B05Rik	0	0	0
8030462N17Rik	0	0	0
8430408G22Rik	23	7	19
8430423G03Rik	0	0	0
8430429K09Rik	1	1	0
8430436N08Rik	0	0	0
9030204H09Rik	0	0	0
9030612E09Rik	0	0	0
9030617O03Rik	6	0	0
9030619P08Rik	3	1	3
9030624G23Rik	1	0	0
9030624J02Rik	48	4	1
9130008F23Rik	4	3	1
9130011E15Rik	7	0	0
9130015L21Rik	0	0	0
9130019O22Rik	0	0	0
9130019P16Rik	0	0	0
9130023H24Rik	1	0	0
9130024F11Rik	4	0	0
9130221H12Rik	0	0	0
9130230L23Rik	2	1	0
9130401M01Rik	31	15	0
9130409I23Rik	1	0	0
9230009I02Rik	0	0	0
9230102O04Rik	3	3	1
9230104L09Rik	0	0	1
9230105E05Rik	1	0	0
9230110C19Rik	0	1	0
9230112D13Rik	0	0	0
9230114K14Rik	1	1	0
9230116N13Rik	0	0	0
9330020H09Rik	6	0	0
9330111N05Rik	0	0	0
9330151L19Rik	5	0	0
9330158H04Rik	1	1	0
9330159F19Rik	7	0	0
9330159M07Rik	0	0	3
9330175E14Rik	3	0	0
9330175M20Rik	0	0	0
9330179D12Rik	0	0	0
9330182L06Rik	5	0	0
9430015G10Rik	2	0	0
9430018G01Rik	0	0	0
9430020K01Rik	25	11	0
9430021M05Rik	0	0	0
9430037G07Rik	0	0	0
9430038I01Rik	12	4	0
9430041J12Rik	0	0	0
9430060I03Rik	0	0	0
9430069I07Rik	0	0	0
9430091E24Rik	0	0	0
9530003J23Rik	0	0	0
9530026F06Rik	0	0	0
9530026P05Rik	3	0	0
9530027J09Rik	0	0	0
9530036O11Rik	2	2	0
9530051G07Rik	0	0	0
9530052E02Rik	0	0	0
9530053A07Rik	0	2	0
9530059O14Rik	1	0	0
9530068E07Rik	85	48	12
9530077C05Rik	5	1	2
9530080O11Rik	3	0	0
9530082P21Rik	16	0	0
9630028B13Rik	1	0	0
9630028H03Rik	0	0	0
9830107B12Rik	2	0	0
9930012K11Rik	0	0	0
9930014A18Rik	0	0	0
9930021J03Rik	43	5	0
9930104L06Rik	0	0	0
9930111J21Rik1	12	0	0
9930111J21Rik2	0	0	0
A130010J15Rik	11	3	0
A1bg	1	1	0
A1cf	6	1	0
A230001M10Rik	2	0	0
A230020J21Rik	0	0	0
A230028O05Rik	0	0	0
A230050P20Rik	8	1	0
A230056P14Rik	1	0	0
A230065H16Rik	0	1	1
A230072C01Rik	1	0	0
A230072E10Rik	0	0	0
A230077H06Rik	0	0	0
A230108P19Rik	0	0	0
A2m	1	0	4
A330009N23Rik	2	0	0
A330023F24Rik	8	0	0
A330032B11Rik	0	0	0
A330035P11Rik	1	0	0
A330040F15Rik	0	0	0
A330041J22Rik	0	0	0
A330048O09Rik	0	0	0
A330069E16Rik	0	0	0
A330076H08Rik	5	2	0
A330102I10Rik	1	0	0
A3galt2	0	0	0
A430005L14Rik	31	12	2
A430033K04Rik	4	0	0
A430035B10Rik	1	1	0
A430078G23Rik	1	0	0
A430093F15Rik	0	0	0
A430105I19Rik	3	0	0
A4galt	13	3	0
A4gnt	1	0	2
A530013C23Rik	0	0	0
A530016L24Rik	0	0	0
A530032D15Rik	5	1	0
A530053G22Rik	0	0	1
A530058N18Rik	4	0	0
A530064D06Rik	3	0	0
A530072M11Rik	0	0	0
A530099J19Rik	0	1	1
