	gene	chr	start	end	tissue	cell.type
11630	Slc25a45	chr19	5831476	5831887	Liver	Liver.hepatocyte
11631	Slc25a45	chr19	5832018	5832262	Liver	Liver.hepatocyte
11632	Slc25a45	chr19	5834285	5835002	Liver	Liver.hepatocyte
11633	Slc25a45	chr19	5836015	5836253	Liver	Liver.hepatocyte
11634	Slc25a45	chr19	5840477	5840712	Liver	Liver.hepatocyte
11635	Slc25a45	chr19	5841377	5841877	Liver	Liver.hepatocyte
11636	Slc25a45	chr19	5848040	5848759	Liver	Liver.hepatocyte
11637	Slc25a45	chr19	5849259	5849649	Liver	Liver.hepatocyte
11638	Slc25a45	chr19	5849837	5850536	Liver	Liver.hepatocyte
12549	Trak1	chr9	121261194	121261817	Liver	Liver.hepatocyte
12550	Trak1	chr9	121263875	121265463	Liver	Liver.hepatocyte
2127	Mrps23	chr11	87960920	87963028	Heart	Heart.cardiac muscle cell
2128	Mrps23	chr11	87968774	87970181	Heart	Heart.cardiac muscle cell
2129	Mrps23	chr11	87972871	87973192	Heart	Heart.cardiac muscle cell
2130	Mrps23	chr11	87974488	87975931	Heart	Heart.cardiac muscle cell
2131	Mrps23	chr11	87977705	87979018	Heart	Heart.cardiac muscle cell
2132	Mrps23	chr11	87979068	87979734	Heart	Heart.cardiac muscle cell
2133	Mrps23	chr11	87985205	87986907	Heart	Heart.cardiac muscle cell
2134	Mrps23	chr11	87993824	87995602	Heart	Heart.cardiac muscle cell
2135	Mrps23	chr11	87998289	87998678	Heart	Heart.cardiac muscle cell
2136	Mrps23	chr11	88000706	88001855	Heart	Heart.cardiac muscle cell
2137	Mrps23	chr11	88010467	88011434	Heart	Heart.cardiac muscle cell
2138	Mrps23	chr11	88014696	88015440	Heart	Heart.cardiac muscle cell
2750	Ppara	chr15	85529777	85530824	Heart	Heart.cardiac muscle cell
2751	Ppara	chr15	85539287	85541017	Heart	Heart.cardiac muscle cell
1069	Ensa	chr3	95465852	95466597	Heart	Heart.cardiac muscle cell
1070	Ensa	chr3	95469964	95470767	Heart	Heart.cardiac muscle cell
1071	Ensa	chr3	95471477	95473467	Heart	Heart.cardiac muscle cell
1072	Ensa	chr3	95476400	95478532	Heart	Heart.cardiac muscle cell
6824	Ensa	chr3	95465852	95466597	Liver	Liver.hepatocyte
6825	Ensa	chr3	95471477	95473467	Liver	Liver.hepatocyte
1466	Hfe2	chr3	96358892	96359705	Heart	Heart.cardiac muscle cell
1467	Hfe2	chr3	96363889	96364275	Heart	Heart.cardiac muscle cell
1468	Hfe2	chr3	96365863	96366647	Heart	Heart.cardiac muscle cell
1469	Hfe2	chr3	96367667	96369075	Heart	Heart.cardiac muscle cell
1470	Hfe2	chr3	96373342	96374031	Heart	Heart.cardiac muscle cell
1471	Hfe2	chr3	96374502	96375015	Heart	Heart.cardiac muscle cell
1472	Hfe2	chr3	96375771	96376222	Heart	Heart.cardiac muscle cell
1473	Hfe2	chr3	96377845	96378497	Heart	Heart.cardiac muscle cell
7965	Hfe2	chr3	96358892	96359705	Liver	Liver.hepatocyte
1980	Med24	chr11	98605249	98605757	Heart	Heart.cardiac muscle cell
1981	Med24	chr11	98608081	98609560	Heart	Heart.cardiac muscle cell
1982	Med24	chr11	98611638	98612894	Heart	Heart.cardiac muscle cell
1983	Med24	chr11	98615371	98616975	Heart	Heart.cardiac muscle cell
1984	Med24	chr11	98623954	98625247	Heart	Heart.cardiac muscle cell
1985	Med24	chr11	98629736	98630551	Heart	Heart.cardiac muscle cell
1986	Med24	chr11	98633425	98633794	Heart	Heart.cardiac muscle cell
1987	Med24	chr11	98633891	98634673	Heart	Heart.cardiac muscle cell
5523	Casc3	chr11	98633891	98634673	Liver	Liver.hepatocyte
5524	Casc3	chr11	98649818	98651016	Liver	Liver.hepatocyte
